bird_id;name;sex;generation;hatching_date;raising_type;status;parent_f;parent_f_id;parent_m;parent_m_id;population;breeding_area;missed_since;delivered_or_death_date;mortality_cause;mortality_verified
246;Fidelio;f;F2;2018-05-14;parent;dead ;Luna;32;Jazu;20;wild population;Burghausen;;2018-11-18;shot;unverified
247;Lucius;m;F1;2018-05-11;parent;alive;Jack;2;Ayla;4;wild population;Burghausen;;;;
248;Atair;m;F1;2018-05-12;parent;dead;Jack;2;Ayla;4;wild population;Burghausen;;2018-07-21;electrocution;verified
249;Carlo;m;F1;2018-05-14;parent;alive;Jack;2;Ayla;4;wild population;Burghausen;;;;
250;Verus;f;F1;2018-05-12;parent;dead;Frodo;12;Lilu;1;wild population;Kuchl;;2019-03-12;unknown;verified
251;Juno;m;F1;2018-05-14;parent;alive;Frodo;12;Lilu;1;wild population;Burghausen;;;;
252;Laura;f;F1;2018-05-16;parent;alive;Frodo;12;Lilu;1;wild population;Burghausen;;;;
253;Moritz;f;F1;2018-06-01;parent;alive;Camillo;93;Francesco;34;wild population;Burghausen;;;;
254;Mea;f;F1;2018-06-04;parent;dead;Camillo;93;Francesco;34;wild population;Burghausen;;2018-08-08;injury/illness;verified
255;Silvretta;f;F0;2018-05-07;supplementation;alive;51286/r/white/l;n.a.;51829/l/blue/l;n.a.;wild population;allocation;;;;
256;Selun;m;F0;2018-05-14;supplementation;dead;51286/r/white/l;n.a.;51829/l/blue/l;n.a.;wild population;allocation;;2018-12-08;unknown;verified
257;Strela;f;F0;2018-05-14;supplementation;dead;51824/r/red/l;n.a.;51820/l/black/r;n.a.;wild population;allocation;;2018-08-27;electrocution;verified
258;Saentis;m;F0;2018-05-14;supplementation;dead;51206;n.a.;51207;n.a.;wild population;allocation;;2018-12-19;unknown;verified
259;namenlos26;n.a.;F1;2018-06-02;parent;dead;Camillo;93;Francesco;34;wild population;Burghausen;;2018-07-22;electrocution;verified
260;Smokie;m;F1;2018-05-16;parent;dead;Zeudi;25;Filou;23;wild population;Kuchl;;2019-01-31;unknown;verified
261;Sissi;f;F1;2018-05-18;parent;dead;Zeudi;25;Filou;23;wild population;Kuchl;;2018-12-17;unknown;verified
262;Nessi;m;F1;2018-05-20;parent;dead;Zeudi;25;Filou;23;wild population;Kuchl;;2018-12-12;unknown;verified
263;Clyde;m;F1;2018-05-25;parent;alive;Vitorio;35;Saba;22;wild population;Kuchl;;;;
264;Bonnie;f;F1;2018-05-27;parent;dead;Vitorio;35;Saba;22;wild population;Kuchl;;2018-11-27;unknown;verified
265;Janus;m;F1;2018-05-25;parent;dead;Peter;47;Nova;48;wild population;Kuchl;;2019-01-20;unknown;verified
266;Eos;f;F1;2018-05-27;parent;dead;Peter;47;Nova;48;wild population;Kuchl;;2019-01-30;unknown;verified
267;Persephone;f;F1;2018-05-29;parent;dead;Peter;47;Nova;48;wild population;Kuchl;;2019-06-22;electrocution;verified
268;Elliot;m;F1;2018-05-29;parent;alive;Salem;17;Greta;16;wild population;Kuchl;;;;
